Year,Month,Crop,Price
2027,September,Maize,220
2027,October,Maize,221
2027,November,Maize,222
2027,December,Maize,223
2028,January,Maize,219
2028,February,Maize,220
2028,March,Maize,221
2028,April,Maize,222
2028,May,Maize,223
2028,June,Maize,224
2028,July,Maize,225
2028,August,Maize,226
2028,September,Maize,227
2028,October,Maize,228
2028,November,Maize,229
2028,December,Maize,230
2029,January,Maize,226
2029,February,Maize,227
2029,March,Maize,228
2029,April,Maize,229
2029,May,Maize,230
2029,June,Maize,231
2029,July,Maize,232
2029,August,Maize,233
2029,September,Maize,234
2029,October,Maize,235
2029,November,Maize,236
2029,December,Maize,237
2025,January,Cotton,155.2
2025,February,Cotton,153.4
2025,March,Cotton,160.1
2025,April,Cotton,157.8
2025,May,Cotton,152.3
2025,June,Cotton,153.1
2025,July,Cotton,158.0
2025,August,Cotton,154.8
2025,September,Cotton,159.6
2025,October,Cotton,154.1
2025,November,Cotton,151.8
2025,December,Cotton,151.0
2026,January,Cotton,159.8
2026,February,Cotton,158.0
2026,March,Cotton,164.9
2026,April,Cotton,162.5
2026,May,Cotton,156.9
2026,June,Cotton,157.8
2026,July,Cotton,162.7
2026,August,Cotton,159.4
2026,September,Cotton,164.4
2026,October,Cotton,158.8
2026,November,Cotton,156.4
2026,December,Cotton,155.6
2027,January,Cotton,164.6
2027,February,Cotton,162.7
2027,March,Cotton,169.8
2027,April,Cotton,167.4
2027,May,Cotton,161.6
2027,June,Cotton,162.5
2027,July,Cotton,167.6
2027,August,Cotton,164.2
2027,September,Cotton,169.3
2027,October,Cotton,163.6
2027,November,Cotton,161.1
2027,December,Cotton,160.3
2028,January,Cotton,169.5
2028,February,Cotton,167.6
2028,March,Cotton,174.9
2028,April,Cotton,172.4
2028,May,Cotton,166.5
2028,June,Cotton,167.4
2028,July,Cotton,172.7
2028,August,Cotton,169.2
2028,September,Cotton,174.4
2028,October,Cotton,168.5
2028,November,Cotton,165.9
2028,December,Cotton,165.1
2029,January,Cotton,174.6
2029,February,Cotton,172.6
2029,March,Cotton,180.1
2029,April,Cotton,177.6
2029,May,Cotton,171.5
2029,June,Cotton,172.4
2029,July,Cotton,177.9
2029,August,Cotton,174.3
2029,September,Cotton,179.6
2029,October,Cotton,173.6
2029,November,Cotton,171.0
2029,December,Cotton,170.2
